YEAR;WEEK;START_DATE;MID_DATE;END_DATE;AGE;N_DEATH;FLAG
2010;24;2010-06-13;2010-06-16;2010-06-19;70-79;219;d
2010;24;2010-06-13;2010-06-16;2010-06-19;60-69;171;d
2010;24;2010-06-13;2010-06-16;2010-06-19;50-59;77;d
2010;24;2010-06-13;2010-06-16;2010-06-19;0-49;83;d
2010;25;2010-06-20;2010-06-23;2010-06-26;Total;1018;d
2010;25;2010-06-20;2010-06-23;2010-06-26;90+;150;d
2010;25;2010-06-20;2010-06-23;2010-06-26;80-89;323;d
2010;25;2010-06-20;2010-06-23;2010-06-26;70-79;226;d
2010;25;2010-06-20;2010-06-23;2010-06-26;60-69;147;d
2010;25;2010-06-20;2010-06-23;2010-06-26;50-59;108;d
2010;25;2010-06-20;2010-06-23;2010-06-26;0-49;64;d
2010;26;2010-06-27;2010-06-30;2010-07-03;Total;999;d
2010;26;2010-06-27;2010-06-30;2010-07-03;90+;154;d
2010;26;2010-06-27;2010-06-30;2010-07-03;80-89;309;d
2010;26;2010-06-27;2010-06-30;2010-07-03;70-79;217;d
2010;26;2010-06-27;2010-06-30;2010-07-03;60-69;152;d
2010;26;2010-06-27;2010-06-30;2010-07-03;50-59;96;d
2010;26;2010-06-27;2010-06-30;2010-07-03;0-49;71;d
2010;27;2010-07-04;2010-07-07;2010-07-10;Total;1302;d
2010;27;2010-07-04;2010-07-07;2010-07-10;90+;200;d
2010;27;2010-07-04;2010-07-07;2010-07-10;80-89;408;d
2010;27;2010-07-04;2010-07-07;2010-07-10;70-79;273;d
2010;27;2010-07-04;2010-07-07;2010-07-10;60-69;194;d
2010;27;2010-07-04;2010-07-07;2010-07-10;50-59;124;d
2010;27;2010-07-04;2010-07-07;2010-07-10;0-49;103;d
2010;28;2010-07-11;2010-07-14;2010-07-17;Total;1153;d
2010;28;2010-07-11;2010-07-14;2010-07-17;90+;200;d
2010;28;2010-07-11;2010-07-14;2010-07-17;80-89;378;d
2010;28;2010-07-11;2010-07-14;2010-07-17;70-79;248;d
2010;28;2010-07-11;2010-07-14;2010-07-17;60-69;157;d
2010;28;2010-07-11;2010-07-14;2010-07-17;50-59;96;d
2010;28;2010-07-11;2010-07-14;2010-07-17;0-49;74;d
2010;29;2010-07-18;2010-07-21;2010-07-24;Total;1121;d
2010;29;2010-07-18;2010-07-21;2010-07-24;90+;163;d
2010;29;2010-07-18;2010-07-21;2010-07-24;80-89;361;d
2010;29;2010-07-18;2010-07-21;2010-07-24;70-79;247;d
2010;29;2010-07-18;2010-07-21;2010-07-24;60-69;173;d
2010;29;2010-07-18;2010-07-21;2010-07-24;50-59;101;d
2010;29;2010-07-18;2010-07-21;2010-07-24;0-49;76;d
2010;30;2010-07-25;2010-07-28;2010-07-31;Total;1053;d
2010;30;2010-07-25;2010-07-28;2010-07-31;90+;195;d
2010;30;2010-07-25;2010-07-28;2010-07-31;80-89;336;d
2010;30;2010-07-25;2010-07-28;2010-07-31;70-79;214;d
2010;30;2010-07-25;2010-07-28;2010-07-31;60-69;157;d
2010;30;2010-07-25;2010-07-28;2010-07-31;50-59;99;d
2010;30;2010-07-25;2010-07-28;2010-07-31;0-49;52;d
2010;31;2010-08-01;2010-08-04;2010-08-07;Total;1012;d
2010;31;2010-08-01;2010-08-04;2010-08-07;90+;156;d
