YEAR;WEEK;START_DATE;MID_DATE;END_DATE;SEX;N_DEATH;FLAG
2015;47;2015-11-22;2015-11-25;2015-11-28;F;589;d
2015;48;2015-11-29;2015-12-02;2015-12-05;Total;1225;d
2015;48;2015-11-29;2015-12-02;2015-12-05;H;637;d
2015;48;2015-11-29;2015-12-02;2015-12-05;F;588;d
2015;49;2015-12-06;2015-12-09;2015-12-12;Total;1319;d
2015;49;2015-12-06;2015-12-09;2015-12-12;H;684;d
2015;49;2015-12-06;2015-12-09;2015-12-12;F;635;d
2015;50;2015-12-13;2015-12-16;2015-12-19;Total;1247;d
2015;50;2015-12-13;2015-12-16;2015-12-19;H;616;d
2015;50;2015-12-13;2015-12-16;2015-12-19;F;631;d
2015;51;2015-12-20;2015-12-23;2015-12-26;Total;1170;d
2015;51;2015-12-20;2015-12-23;2015-12-26;H;577;d
2015;51;2015-12-20;2015-12-23;2015-12-26;F;593;d
2015;52;2015-12-27;2015-12-30;2016-01-02;Total;1267;d
2015;52;2015-12-27;2015-12-30;2016-01-02;H;640;d
2015;52;2015-12-27;2015-12-30;2016-01-02;F;627;d
2016;1;2016-01-03;2016-01-06;2016-01-09;Total;1232;d
2016;1;2016-01-03;2016-01-06;2016-01-09;H;620;d
2016;1;2016-01-03;2016-01-06;2016-01-09;F;612;d
2016;2;2016-01-10;2016-01-13;2016-01-16;Total;1303;d
2016;2;2016-01-10;2016-01-13;2016-01-16;H;635;d
2016;2;2016-01-10;2016-01-13;2016-01-16;F;668;d
2016;3;2016-01-17;2016-01-20;2016-01-23;Total;1247;d
2016;3;2016-01-17;2016-01-20;2016-01-23;H;600;d
2016;3;2016-01-17;2016-01-20;2016-01-23;F;647;d
2016;4;2016-01-24;2016-01-27;2016-01-30;Total;1332;d
2016;4;2016-01-24;2016-01-27;2016-01-30;H;698;d
2016;4;2016-01-24;2016-01-27;2016-01-30;F;634;d
2016;5;2016-01-31;2016-02-03;2016-02-06;Total;1298;d
2016;5;2016-01-31;2016-02-03;2016-02-06;H;603;d
2016;5;2016-01-31;2016-02-03;2016-02-06;F;695;d
2016;6;2016-02-07;2016-02-10;2016-02-13;Total;1301;d
2016;6;2016-02-07;2016-02-10;2016-02-13;H;630;d
2016;6;2016-02-07;2016-02-10;2016-02-13;F;671;d
2016;7;2016-02-14;2016-02-17;2016-02-20;Total;1306;d
2016;7;2016-02-14;2016-02-17;2016-02-20;H;641;d
2016;7;2016-02-14;2016-02-17;2016-02-20;F;665;d
2016;8;2016-02-21;2016-02-24;2016-02-27;Total;1365;d
2016;8;2016-02-21;2016-02-24;2016-02-27;H;679;d
2016;8;2016-02-21;2016-02-24;2016-02-27;F;686;d
2016;9;2016-02-28;2016-03-02;2016-03-05;Total;1415;d
2016;9;2016-02-28;2016-03-02;2016-03-05;H;648;d
2016;9;2016-02-28;2016-03-02;2016-03-05;F;767;d
2016;10;2016-03-06;2016-03-09;2016-03-12;Total;1334;d
2016;10;2016-03-06;2016-03-09;2016-03-12;H;666;d
2016;10;2016-03-06;2016-03-09;2016-03-12;F;668;d
2016;11;2016-03-13;2016-03-16;2016-03-19;Total;1311;d
2016;11;2016-03-13;2016-03-16;2016-03-19;H;653;d
2016;11;2016-03-13;2016-03-16;2016-03-19;F;658;d
2016;12;2016-03-20;2016-03-23;2016-03-26;Total;1306;d
2016;12;2016-03-20;2016-03-23;2016-03-26;H;645;d
2016;12;2016-03-20;2016-03-23;2016-03-26;F;661;d
2016;13;2016-03-27;2016-03-30;2016-04-02;Total;1304;d
2016;13;2016-03-27;2016-03-30;2016-04-02;H;687;d
2016;13;2016-03-27;2016-03-30;2016-04-02;F;617;d
2016;14;2016-04-03;2016-04-06;2016-04-09;Total;1264;d
2016;14;2016-04-03;2016-04-06;2016-04-09;H;623;d
2016;14;2016-04-03;2016-04-06;2016-04-09;F;641;d
2016;15;2016-04-10;2016-04-13;2016-04-16;Total;1209;d
2016;15;2016-04-10;2016-04-13;2016-04-16;H;593;d
2016;15;2016-04-10;2016-04-13;2016-04-16;F;616;d
2016;16;2016-04-17;2016-04-20;2016-04-23;Total;1265;d
2016;16;2016-04-17;2016-04-20;2016-04-23;H;597;d
2016;16;2016-04-17;2016-04-20;2016-04-23;F;668;d
2016;17;2016-04-24;2016-04-27;2016-04-30;Total;1247;d
2016;17;2016-04-24;2016-04-27;2016-04-30;H;654;d
2016;17;2016-04-24;2016-04-27;2016-04-30;F;593;d
2016;18;2016-05-01;2016-05-04;2016-05-07;Total;1273;d
2016;18;2016-05-01;2016-05-04;2016-05-07;H;622;d
2016;18;2016-05-01;2016-05-04;2016-05-07;F;651;d
2016;19;2016-05-08;2016-05-11;2016-05-14;Total;1228;d
2016;19;2016-05-08;2016-05-11;2016-05-14;H;617;d
2016;19;2016-05-08;2016-05-11;2016-05-14;F;611;d
2016;20;2016-05-15;2016-05-18;2016-05-21;Total;1193;d
2016;20;2016-05-15;2016-05-18;2016-05-21;H;595;d
2016;20;2016-05-15;2016-05-18;2016-05-21;F;598;d
2016;21;2016-05-22;2016-05-25;2016-05-28;Total;1177;d
2016;21;2016-05-22;2016-05-25;2016-05-28;H;599;d
2016;21;2016-05-22;2016-05-25;2016-05-28;F;578;d
2016;22;2016-05-29;2016-06-01;2016-06-04;Total;1112;d
2016;22;2016-05-29;2016-06-01;2016-06-04;H;554;d
2016;22;2016-05-29;2016-06-01;2016-06-04;F;558;d
2016;23;2016-06-05;2016-06-08;2016-06-11;Total;1096;d
2016;23;2016-06-05;2016-06-08;2016-06-11;H;537;d
2016;23;2016-06-05;2016-06-08;2016-06-11;F;559;d
2016;24;2016-06-12;2016-06-15;2016-06-18;Total;1146;d
2016;24;2016-06-12;2016-06-15;2016-06-18;H;573;d
2016;24;2016-06-12;2016-06-15;2016-06-18;F;573;d
2016;25;2016-06-19;2016-06-22;2016-06-25;Total;1193;d
2016;25;2016-06-19;2016-06-22;2016-06-25;H;566;d
2016;25;2016-06-19;2016-06-22;2016-06-25;F;627;d
2016;26;2016-06-26;2016-06-29;2016-07-02;Total;1130;d
2016;26;2016-06-26;2016-06-29;2016-07-02;H;555;d
2016;26;2016-06-26;2016-06-29;2016-07-02;F;575;d
2016;27;2016-07-03;2016-07-06;2016-07-09;Total;1090;d
2016;27;2016-07-03;2016-07-06;2016-07-09;H;557;d
2016;27;2016-07-03;2016-07-06;2016-07-09;F;533;d
2016;28;2016-07-10;2016-07-13;2016-07-16;Total;1124;d
2016;28;2016-07-10;2016-07-13;2016-07-16;H;528;d
2016;28;2016-07-10;2016-07-13;2016-07-16;F;596;d
2016;29;2016-07-17;2016-07-20;2016-07-23;Total;1079;d
2016;29;2016-07-17;2016-07-20;2016-07-23;H;565;d
2016;29;2016-07-17;2016-07-20;2016-07-23;F;514;d
2016;30;2016-07-24;2016-07-27;2016-07-30;Total;1150;d
2016;30;2016-07-24;2016-07-27;2016-07-30;H;597;d
2016;30;2016-07-24;2016-07-27;2016-07-30;F;553;d
2016;31;2016-07-31;2016-08-03;2016-08-06;Total;1110;d
2016;31;2016-07-31;2016-08-03;2016-08-06;H;522;d
2016;31;2016-07-31;2016-08-03;2016-08-06;F;588;d
2016;32;2016-08-07;2016-08-10;2016-08-13;Total;1124;d
2016;32;2016-08-07;2016-08-10;2016-08-13;H;546;d
2016;32;2016-08-07;2016-08-10;2016-08-13;F;578;d
2016;33;2016-08-14;2016-08-17;2016-08-20;Total;1159;d
2016;33;2016-08-14;2016-08-17;2016-08-20;H;574;d
2016;33;2016-08-14;2016-08-17;2016-08-20;F;585;d
2016;34;2016-08-21;2016-08-24;2016-08-27;Total;1098;d
2016;34;2016-08-21;2016-08-24;2016-08-27;H;535;d
2016;34;2016-08-21;2016-08-24;2016-08-27;F;563;d
2016;35;2016-08-28;2016-08-31;2016-09-03;Total;1094;d
2016;35;2016-08-28;2016-08-31;2016-09-03;H;552;d
2016;35;2016-08-28;2016-08-31;2016-09-03;F;542;d
2016;36;2016-09-04;2016-09-07;2016-09-10;Total;1109;d
2016;36;2016-09-04;2016-09-07;2016-09-10;H;575;d
2016;36;2016-09-04;2016-09-07;2016-09-10;F;534;d
2016;37;2016-09-11;2016-09-14;2016-09-17;Total;1120;d
2016;37;2016-09-11;2016-09-14;2016-09-17;H;545;d
2016;37;2016-09-11;2016-09-14;2016-09-17;F;575;d
2016;38;2016-09-18;2016-09-21;2016-09-24;Total;1102;d
2016;38;2016-09-18;2016-09-21;2016-09-24;H;525;d
2016;38;2016-09-18;2016-09-21;2016-09-24;F;577;d
2016;39;2016-09-25;2016-09-28;2016-10-01;Total;1147;d
2016;39;2016-09-25;2016-09-28;2016-10-01;H;561;d
2016;39;2016-09-25;2016-09-28;2016-10-01;F;586;d
2016;40;2016-10-02;2016-10-05;2016-10-08;Total;1165;d
2016;40;2016-10-02;2016-10-05;2016-10-08;H;559;d
2016;40;2016-10-02;2016-10-05;2016-10-08;F;606;d
2016;41;2016-10-09;2016-10-12;2016-10-15;Total;1215;d
2016;41;2016-10-09;2016-10-12;2016-10-15;H;589;d
2016;41;2016-10-09;2016-10-12;2016-10-15;F;626;d
2016;42;2016-10-16;2016-10-19;2016-10-22;Total;1253;d
2016;42;2016-10-16;2016-10-19;2016-10-22;H;619;d
2016;42;2016-10-16;2016-10-19;2016-10-22;F;634;d
2016;43;2016-10-23;2016-10-26;2016-10-29;Total;1229;d
2016;43;2016-10-23;2016-10-26;2016-10-29;H;632;d
2016;43;2016-10-23;2016-10-26;2016-10-29;F;597;d
2016;44;2016-10-30;2016-11-02;2016-11-05;Total;1273;d
2016;44;2016-10-30;2016-11-02;2016-11-05;H;626;d
2016;44;2016-10-30;2016-11-02;2016-11-05;F;647;d
2016;45;2016-11-06;2016-11-09;2016-11-12;Total;1193;d
2016;45;2016-11-06;2016-11-09;2016-11-12;H;572;d
2016;45;2016-11-06;2016-11-09;2016-11-12;F;621;d
2016;46;2016-11-13;2016-11-16;2016-11-19;Total;1234;d
2016;46;2016-11-13;2016-11-16;2016-11-19;H;614;d
2016;46;2016-11-13;2016-11-16;2016-11-19;F;620;d
2016;47;2016-11-20;2016-11-23;2016-11-26;Total;1199;d
2016;47;2016-11-20;2016-11-23;2016-11-26;H;571;d
2016;47;2016-11-20;2016-11-23;2016-11-26;F;628;d
2016;48;2016-11-27;2016-11-30;2016-12-03;Total;1229;d
2016;48;2016-11-27;2016-11-30;2016-12-03;H;611;d
2016;48;2016-11-27;2016-11-30;2016-12-03;F;618;d
2016;49;2016-12-04;2016-12-07;2016-12-10;Total;1153;d
2016;49;2016-12-04;2016-12-07;2016-12-10;H;555;d
2016;49;2016-12-04;2016-12-07;2016-12-10;F;598;d
2016;50;2016-12-11;2016-12-14;2016-12-17;Total;1280;d
2016;50;2016-12-11;2016-12-14;2016-12-17;H;633;d
2016;50;2016-12-11;2016-12-14;2016-12-17;F;647;d
2016;51;2016-12-18;2016-12-21;2016-12-24;Total;1300;d
2016;51;2016-12-18;2016-12-21;2016-12-24;H;658;d
2016;51;2016-12-18;2016-12-21;2016-12-24;F;642;d
2016;52;2016-12-25;2016-12-28;2016-12-31;Total;1419;d
2016;52;2016-12-25;2016-12-28;2016-12-31;H;689;d
2016;52;2016-12-25;2016-12-28;2016-12-31;F;730;d
2017;1;2017-01-01;2017-01-04;2017-01-07;Total;1511;d
2017;1;2017-01-01;2017-01-04;2017-01-07;H;718;d
2017;1;2017-01-01;2017-01-04;2017-01-07;F;793;d
2017;2;2017-01-08;2017-01-11;2017-01-14;Total;1434;d
2017;2;2017-01-08;2017-01-11;2017-01-14;H;703;d
2017;2;2017-01-08;2017-01-11;2017-01-14;F;731;d
2017;3;2017-01-15;2017-01-18;2017-01-21;Total;1493;d
2017;3;2017-01-15;2017-01-18;2017-01-21;H;749;d
2017;3;2017-01-15;2017-01-18;2017-01-21;F;744;d
2017;4;2017-01-22;2017-01-25;2017-01-28;Total;1464;d
2017;4;2017-01-22;2017-01-25;2017-01-28;H;741;d
2017;4;2017-01-22;2017-01-25;2017-01-28;F;723;d
2017;5;2017-01-29;2017-02-01;2017-02-04;Total;1381;d
2017;5;2017-01-29;2017-02-01;2017-02-04;H;660;d
2017;5;2017-01-29;2017-02-01;2017-02-04;F;721;d
2017;6;2017-02-05;2017-02-08;2017-02-11;Total;1448;d
2017;6;2017-02-05;2017-02-08;2017-02-11;H;656;d
2017;6;2017-02-05;2017-02-08;2017-02-11;F;792;d
2017;7;2017-02-12;2017-02-15;2017-02-18;Total;1397;d
2017;7;2017-02-12;2017-02-15;2017-02-18;H;647;d
2017;7;2017-02-12;2017-02-15;2017-02-18;F;750;d
2017;8;2017-02-19;2017-02-22;2017-02-25;Total;1427;d
2017;8;2017-02-19;2017-02-22;2017-02-25;H;666;d
2017;8;2017-02-19;2017-02-22;2017-02-25;F;761;d
2017;9;2017-02-26;2017-03-01;2017-03-04;Total;1329;d
2017;9;2017-02-26;2017-03-01;2017-03-04;H;626;d
2017;9;2017-02-26;2017-03-01;2017-03-04;F;703;d
2017;10;2017-03-05;2017-03-08;2017-03-11;Total;1382;d
