YEAR;WEEK;START_DATE;MID_DATE;END_DATE;SEX;N_DEATH;FLAG
2011;26;2011-06-26;2011-06-29;2011-07-02;Femmes;492;d
2011;27;2011-07-03;2011-07-06;2011-07-09;Total;1028;d
2011;27;2011-07-03;2011-07-06;2011-07-09;Hommes;522;d
2011;27;2011-07-03;2011-07-06;2011-07-09;Femmes;506;d
2011;28;2011-07-10;2011-07-13;2011-07-16;Total;1030;d
2011;28;2011-07-10;2011-07-13;2011-07-16;Hommes;523;d
2011;28;2011-07-10;2011-07-13;2011-07-16;Femmes;507;d
2011;29;2011-07-17;2011-07-20;2011-07-23;Total;1082;d
2011;29;2011-07-17;2011-07-20;2011-07-23;Hommes;533;d
2011;29;2011-07-17;2011-07-20;2011-07-23;Femmes;549;d
2011;30;2011-07-24;2011-07-27;2011-07-30;Total;1068;d
2011;30;2011-07-24;2011-07-27;2011-07-30;Hommes;526;d
2011;30;2011-07-24;2011-07-27;2011-07-30;Femmes;542;d
2011;31;2011-07-31;2011-08-03;2011-08-06;Total;1033;d
2011;31;2011-07-31;2011-08-03;2011-08-06;Hommes;512;d
2011;31;2011-07-31;2011-08-03;2011-08-06;Femmes;521;d
2011;32;2011-08-07;2011-08-10;2011-08-13;Total;1062;d
2011;32;2011-08-07;2011-08-10;2011-08-13;Hommes;517;d
2011;32;2011-08-07;2011-08-10;2011-08-13;Femmes;545;d
2011;33;2011-08-14;2011-08-17;2011-08-20;Total;1046;d
2011;33;2011-08-14;2011-08-17;2011-08-20;Hommes;526;d
2011;33;2011-08-14;2011-08-17;2011-08-20;Femmes;520;d
2011;34;2011-08-21;2011-08-24;2011-08-27;Total;1036;d
2011;34;2011-08-21;2011-08-24;2011-08-27;Hommes;525;d
2011;34;2011-08-21;2011-08-24;2011-08-27;Femmes;511;d
2011;35;2011-08-28;2011-08-31;2011-09-03;Total;1058;d
2011;35;2011-08-28;2011-08-31;2011-09-03;Hommes;546;d
2011;35;2011-08-28;2011-08-31;2011-09-03;Femmes;512;d
2011;36;2011-09-04;2011-09-07;2011-09-10;Total;1009;d
2011;36;2011-09-04;2011-09-07;2011-09-10;Hommes;495;d
2011;36;2011-09-04;2011-09-07;2011-09-10;Femmes;514;d
2011;37;2011-09-11;2011-09-14;2011-09-17;Total;1029;d
2011;37;2011-09-11;2011-09-14;2011-09-17;Hommes;493;d
2011;37;2011-09-11;2011-09-14;2011-09-17;Femmes;536;d
2011;38;2011-09-18;2011-09-21;2011-09-24;Total;1104;d
2011;38;2011-09-18;2011-09-21;2011-09-24;Hommes;557;d
2011;38;2011-09-18;2011-09-21;2011-09-24;Femmes;547;d
2011;39;2011-09-25;2011-09-28;2011-10-01;Total;1076;d
2011;39;2011-09-25;2011-09-28;2011-10-01;Hommes;526;d
2011;39;2011-09-25;2011-09-28;2011-10-01;Femmes;550;d
